年份,地区,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),city_name,year_now,city_new_comp_cnt_now,year_last,city_new_comp_cnt_last,yoy_gr,city_idx,year
2019.0,哈密,6050000.0,98148.0,56.0,哈密,2020,8215,2019,7696,6.743762993763003,296,2019.0
2020.0,哈密,6080000.0,103153.0,56.0,哈密,2021,9134,2020,8215,11.186853317102852,296,2020.0
2021.0,哈密,7270000.0,108157.0,56.0,哈密,2022,7612,2021,9134,-16.663017298007443,296,2021.0
2019.0,哈尔滨,52490000.0,55175.0,951.0,哈尔滨,2020,88587,2019,100963,-12.257955884829098,57,2019.0
2020.0,哈尔滨,51840000.0,54570.0,947.0,哈尔滨,2021,123565,2020,88587,39.48434871933806,57,2020.0
2021.0,哈尔滨,53520000.0,53823.0,943.0,哈尔滨,2022,119824,2021,123565,-3.0275563468619704,57,2021.0
2019.0,唐山,68900000.0,86667.0,756.0,唐山,2020,93263,2019,107697,-13.402416037586928,5,2019.0
2020.0,唐山,72110000.0,93470.0,753.5,唐山,2021,82647,2020,93263,-11.382863515005948,5,2020.0
2021.0,唐山,82310000.0,106784.0,751.0,唐山,2022,88378,2021,82647,6.934310985274728,5,2021.0
2019.0,商丘,29110000.0,39719.0,1005.0,商丘,2020,76628,2019,67915,12.829271883972604,158,2019.0
2020.0,商丘,29260000.0,37443.0,1008.5,商丘,2021,104610,2020,76628,36.51667797671869,158,2020.0
2021.0,商丘,30830000.0,39678.0,1012.0,商丘,2022,163525,2021,104610,56.31870758053723,158,2021.0
2019.0,商洛,8370000.0,35181.0,250.0,商洛,2020,15404,2019,14707,4.739239817773844,272,2019.0
2020.0,商洛,7390000.0,35381.0,249.5,商洛,2021,14729,2020,15404,-4.3819787068293925,272,2020.0
2021.0,商洛,8520000.0,41812.0,249.0,商洛,2022,13500,2021,14729,-8.344083101364653,272,2021.0
2019.0,嘉兴,53700000.0,112751.0,364.0,嘉兴,2020,70854,2019,58420,21.28380691543992,85,2019.0
2020.0,嘉兴,55100000.0,102541.0,368.0,嘉兴,2021,64218,2020,70854,-9.365737996443393,85,2020.0
2021.0,嘉兴,63550000.0,116323.0,372.0,嘉兴,2022,82510,2021,64218,28.48422560652777,85,2021.0
2019.0,嘉峪关,2830000.0,112219.0,21.0,嘉峪关,2020,362,2019,330,9.696969696969692,275,2019.0
2020.0,嘉峪关,2820000.0,91000.0,21.0,嘉峪关,2021,506,2020,362,39.77900552486189,275,2020.0
2021.0,嘉峪关,3260000.0,103773.0,21.0,嘉峪关,2022,209,2021,506,-58.69565217391304,275,2021.0
2019.0,四平,7960000.0,24979.0,318.0,四平,2020,19154,2019,19159,-0.0260973954799292,51,2019.0
2020.0,四平,5270000.0,24586.0,263.5,四平,2021,21349,2020,19154,11.459747311266575,51,2020.0
2021.0,四平,5540000.0,31003.0,209.0,四平,2022,29628,2021,21349,38.77933392664761,51,2021.0
2019.0,固原,3230000.0,25886.0,147.0,固原,2020,10755,2019,10953,-1.8077239112571863,292,2019.0
2020.0,固原,3520000.0,29462.0,146.5,固原,2021,11349,2020,10755,5.523012552301254,292,2020.0
2021.0,固原,3750000.0,32733.0,146.0,固原,2022,9386,2021,11349,-17.296678121420396,292,2021.0
2019.0,大同,13190000.0,38122.0,318.0,大同,2020,30346,2019,36688,-17.28630614914959,16,2019.0
2020.0,大同,13700000.0,43982.0,317.0,大同,2021,30471,2020,30346,0.4119159032491826,16,2020.0
2021.0,大同,16860000.0,54391.0,316.0,大同,2022,71498,2021,30471,134.64277509763383,16,2021.0
2019.0,大庆,25680000.0,94289.0,272.0,大庆,2020,31950,2019,35942,-11.106783150631571,60,2019.0
2020.0,大庆,23010000.0,84784.0,272.0,大庆,2021,33956,2020,31950,6.278560250391241,60,2020.0
2021.0,大庆,26200000.0,94790.0,272.0,大庆,2022,34262,2021,33956,0.9011662151019006,60,2021.0
2019.0,大连,70020000.0,99996.0,599.0,大连,2020,61504,2019,70881,-13.229215163442952,36,2019.0
2020.0,大连,70300000.0,94685.0,601.5,大连,2021,72517,2020,61504,17.906152445369415,36,2020.0
2021.0,大连,78260000.0,104751.0,604.0,大连,2022,75662,2021,72517,4.3369141029000025,36,2021.0
2019.0,天水,6330000.0,18819.0,372.0,天水,2020,20669,2019,18609,11.069912407974636,278,2019.0
2020.0,天水,6670000.0,22251.0,372.0,天水,2021,20854,2020,20669,0.8950602351347481,278,2020.0
2021.0,天水,7500000.0,25279.0,372.0,天水,2022,18902,2021,20854,-9.360314567948592,278,2021.0
2019.0,天津,141040000.0,90371.0,1108.0,天津,2020,187515,2019,213921,-12.343809163195765,2,2019.0
2020.0,天津,140840000.0,101614.0,1130.0,天津,2021,195686,2020,187515,4.357518065221444,2,2020.0
2021.0,天津,156950000.0,113732.0,1152.0,天津,2022,178217,2021,195686,-8.927056611101458,2,2021.0
2019.0,太原,40290000.0,90698.0,384.0,太原,2020,75874,2019,75190,0.909695438223168,15,2019.0
2020.0,太原,41530000.0,78734.0,389.5,太原,2021,101162,2020,75874,33.328940084877566,15,2020.0
2021.0,太原,51220000.0,95646.0,395.0,太原,2022,126629,2021,101162,25.17447262806192,15,2021.0
2019.0,威海,29640000.0,104615.0,257.0,威海,2020,55363,2019,57896,-4.375086361752112,137,2019.0
2020.0,威海,30180000.0,103829.0,256.5,威海,2021,55183,2020,55363,-0.3251268898000425,137,2020.0
2021.0,威海,34640000.0,118925.0,256.0,威海,2022,45984,2021,55183,-16.669988945871005,137,2021.0
2019.0,娄底,16410000.0,41675.0,455.0,娄底,2020,28454,2019,24870,14.410936871733004,186,2019.0
2020.0,娄底,16800000.0,43913.0,451.5,娄底,2021,24529,2020,28454,-13.794194137906802,186,2020.0
2021.0,娄底,18260000.0,47893.0,448.0,娄底,2022,53485,2021,24529,118.04802478698684,186,2021.0
2019.0,孝感,23010000.0,46772.0,515.0,孝感,2020,22372,2019,24659,-9.274504237803638,166,2019.0
2020.0,孝感,21940000.0,51367.0,509.5,孝感,2021,50630,2020,22372,126.30967280529232,166,2020.0
2021.0,孝感,25620000.0,60556.0,504.0,孝感,2022,82281,2021,50630,62.514319573375474,166,2021.0
2019.0,宁德,24520000.0,84251.0,356.0,宁德,2020,41875,2019,39499,6.015342160561032,117,2019.0
2020.0,宁德,26190000.0,83541.0,356.0,宁德,2021,50079,2020,41875,19.59164179104478,117,2020.0
2021.0,宁德,31510000.0,100034.0,356.0,宁德,2022,49204,2021,50079,-1.7472393618083393,117,2021.0
2019.0,宁波,119850000.0,143157.0,608.0,宁波,2020,119330,2019,119068,0.2200423287533226,83,2019.0
2020.0,宁波,124090000.0,132614.0,613.0,宁波,2021,122068,2020,119330,2.294477499371484,83,2020.0
2021.0,宁波,145950000.0,153922.0,618.0,宁波,2022,142579,2021,122068,16.80292951469673,83,2021.0
2019.0,安庆,23810000.0,50574.0,529.0,安庆,2020,48302,2019,47744,1.1687332439678233,100,2019.0
