year,city,GDP,人均地区生产总值(元),population,job_count_last,job_count,gr,job_gr,city_new_comp_cnt,year_last,city_new_comp_cnt_last,yoy_gr,city_name,city_idx
2019,儋州,3580000.0,39065.0,98.0,6.206,6.842,10.24814695456009,-1.1940773762139674,17525,2019,14188,96.3465264323277,儋州,225
2020,儋州,3590000.0,41003.0,102.5,6.842,8.748,27.857351651563867,10.24814695456009,17808,2020,17525,23.51987595150832,儋州,225
2021,儋州,8320000.0,86169.0,107.0,8.748,8.326,-4.823959762231354,27.857351651563867,16643,2021,17808,1.6148359486447932,儋州,225
2019,克拉玛依,9730000.0,188857.0,31.0,14.91,14.982,0.48289738430582946,-15.86728360230223,5467,2019,6402,24.892703862660944,克拉玛依,294
2020,克拉玛依,8870000.0,180871.0,31.5,14.982,13.867,-7.442264050193556,0.48289738430582946,6320,2020,5467,-14.604810996563575,克拉玛依,294
2021,克拉玛依,10720000.0,205941.0,32.0,13.867,13.319,-3.951828081055744,-7.442264050193556,4840,2021,6320,15.602707152002926,克拉玛依,294
2019,六安,16200000.0,33370.0,591.0,24.148,24.776,2.600629451714428,5.224628524118689,39832,2019,39719,21.061294157091044,六安,105
2020,六安,16700000.0,37899.0,587.5,24.776,25.537,3.07152082660639,2.600629451714428,44828,2020,39832,0.2844986026838541,六安,105
2021,六安,19230000.0,43690.0,584.0,25.537,25.74,0.7949250107686863,3.07152082660639,58894,2021,44828,12.54267925286202,六安,105
2019,六盘水,12660000.0,43003.0,353.0,25.23,25.701,1.8668252080856127,4.958815209252018,22640,2019,25313,-3.119259032455603,六盘水,245
2020,六盘水,13400000.0,44224.0,356.5,25.701,25.742,0.1595268666588863,1.8668252080856127,22280,2020,22640,-10.559791411527673,六盘水,245
2021,六盘水,14740000.0,48715.0,360.0,25.742,29.331,13.942195633594897,0.1595268666588863,32334,2021,22280,-1.5901060070671376,六盘水,245
2019,兰州,28370000.0,75217.0,332.0,70.028,78.504,12.103729936596789,-6.777246768460701,40820,2019,40860,-0.004894523028730851,兰州,274
2020,兰州,28870000.0,66680.0,334.0,78.504,79.04,0.6827677570569669,12.103729936596789,47410,2020,40820,-0.09789525208027411,兰州,274
2021,兰州,32310000.0,73807.0,336.0,79.04,76.614,-3.06933198380567,0.6827677570569669,37857,2021,47410,16.144047035766782,兰州,274
2019,内江,14330000.0,38743.0,408.0,32.244,27.565,-14.511226894926182,2.3749047498095033,18915,2019,18386,7.169503380741432,内江,233
2020,内江,14660000.0,46228.0,405.5,27.565,22.886,-16.974424088518056,-14.511226894926182,25365,2020,18915,2.877189165669531,内江,233
2021,内江,16060000.0,51377.0,403.0,22.886,22.788,-0.4282093856506117,-16.974424088518056,26030,2021,25365,34.09992069785884,内江,233
